Office of Occupational Statistics and Employment Projections,,,,,,,,,
As of 8/29/2024,,,,,,,,,
O*NET-SOC and National Employment Matrix (NEM) equivalents with Occupational Outlook Handbook coverage,,,,,,,,,
Sort Order,O*NET-SOC Code,O*NET-SOC Title,NEM Code,National Employment Matrix Occupational Title,OOH Profile Code,OOH Profile Title,OOH Occupation Group,OOH Occupation Group (brief),OOH Profile Website
229,19-2032.00,Materials Scientists,19-2032,Materials scientists,B099,Chemists and materials scientists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/chemists-and-materials-scientists.htm
230,19-2041.00,"Environmental Scientists and Specialists, Including Health",19-2041,"Environmental scientists and specialists, including health",B100,Environmental scientists and specialists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/environmental-scientists-and-specialists.htm
231,19-2041.01,Climate Change Policy Analysts,19-2041,"Environmental scientists and specialists, including health",B100,Environmental scientists and specialists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/environmental-scientists-and-specialists.htm
232,19-2041.02,Environmental Restoration Planners,19-2041,"Environmental scientists and specialists, including health",B100,Environmental scientists and specialists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/environmental-scientists-and-specialists.htm
233,19-2041.03,Industrial Ecologists,19-2041,"Environmental scientists and specialists, including health",B100,Environmental scientists and specialists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/environmental-scientists-and-specialists.htm
234,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",19-2042,"Geoscientists, except hydrologists and geographers",B101,Geoscientists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/geoscientists.htm
235,19-2043.00,Hydrologists,19-2043,Hydrologists,B102,Hydrologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/hydrologists.htm
236,19-2099.00,"Physical Scientists, All Other",19-2099,"Physical scientists, all other",—,—,—,—,—
237,19-2099.01,Remote Sensing Scientists and Technologists,19-2099,"Physical scientists, all other",—,—,—,—,—
238,19-3011.00,Economists,19-3011,Economists,B006,Economists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/economists.htm
239,19-3011.01,Environmental Economists,19-3011,Economists,B006,Economists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/economists.htm
240,19-3022.00,Survey Researchers,19-3022,Survey researchers,B104,Survey researchers,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/survey-researchers.htm
241,19-3032.00,Industrial-Organizational Psychologists,19-3032,Industrial-organizational psychologists,B105,Psychologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/psychologists.htm
242,19-3033.00,Clinical and Counseling Psychologists,19-3033,Clinical and counseling psychologists,B105,Psychologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/psychologists.htm
243,19-3034.00,School Psychologists,19-3034,School psychologists,B105,Psychologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/psychologists.htm
244,19-3039.00,"Psychologists, All Other",19-3039,"Psychologists, all other",B105,Psychologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/psychologists.htm
245,19-3039.02,Neuropsychologists,19-3039,"Psychologists, all other",B105,Psychologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/psychologists.htm
246,19-3039.03,Clinical Neuropsychologists,19-3039,"Psychologists, all other",B105,Psychologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/psychologists.htm
247,19-3041.00,Sociologists,19-3041,Sociologists,B106,Sociologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/sociologists.htm
248,19-3051.00,Urban and Regional Planners,19-3051,Urban and regional planners,B107,Urban and regional planners,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/urban-and-regional-planners.htm
249,19-3091.00,Anthropologists and Archeologists,19-3091,Anthropologists and archeologists,B108,Anthropologists and archeologists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/anthropologists-and-archeologists.htm
250,19-3092.00,Geographers,19-3092,Geographers,B340,Geographers,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/geographers.htm
251,19-3093.00,Historians,19-3093,Historians,B341,Historians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/historians.htm
252,19-3094.00,Political Scientists,19-3094,Political scientists,B109,Political scientists,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/political-scientists.htm
253,19-3099.00,"Social Scientists and Related Workers, All Other",19-3099,"Social scientists and related workers, all other",—,—,—,—,—
254,19-3099.01,Transportation Planners,19-3099,"Social scientists and related workers, all other",—,—,—,—,—
255,19-4012.00,Agricultural Technicians,19-4012,Agricultural technicians,B342,Agricultural and food science technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/agricultural-and-food-science-technicians.htm
256,19-4012.01,Precision Agriculture Technicians,19-4012,Agricultural technicians,B342,Agricultural and food science technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/agricultural-and-food-science-technicians.htm
257,19-4013.00,Food Science Technicians,19-4013,Food science technicians,B342,Agricultural and food science technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/agricultural-and-food-science-technicians.htm
258,19-4021.00,Biological Technicians,19-4021,Biological technicians,B110,Biological technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/biological-technicians.htm
259,19-4031.00,Chemical Technicians,19-4031,Chemical technicians,B111,Chemical technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/chemical-technicians.htm
260,19-4042.00,"Environmental Science and Protection Technicians, Including Health",19-4042,"Environmental science and protection technicians, including health",B114,Environmental science and protection technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/environmental-science-and-protection-technicians.htm
261,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",19-4043,"Geological technicians, except hydrologic technicians",B112,Geological and hydrologic technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/geological-and-petroleum-technicians.htm
262,19-4044.00,Hydrologic Technicians,19-4044,Hydrologic technicians,B112,Geological and hydrologic technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/geological-and-petroleum-technicians.htm
263,19-4051.00,Nuclear Technicians,19-4051,Nuclear technicians,B113,Nuclear technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/nuclear-technicians.htm
264,19-4051.02,Nuclear Monitoring Technicians,19-4051,Nuclear technicians,B113,Nuclear technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/nuclear-technicians.htm
265,19-4061.00,Social Science Research Assistants,19-4061,Social science research assistants,—,—,—,—,—
266,19-4071.00,Forest and Conservation Technicians,19-4071,Forest and conservation technicians,—,—,—,—,—
267,19-4092.00,Forensic Science Technicians,19-4092,Forensic science technicians,B115,Forensic science technicians,Life-Physical-and-Social-Science,Science,https://www.bls.gov/OOH/life-physical-and-social-science/forensic-science-technicians.htm
268,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",19-4099,"Life, physical, and social science technicians, all other",—,—,—,—,—
269,19-4099.01,Quality Control Analysts,19-4099,"Life, physical, and social science technicians, all other",—,—,—,—,—
270,19-4099.03,Remote Sensing Technicians,19-4099,"Life, physical, and social science technicians, all other",—,—,—,—,—
271,19-5011.00,Occupational Health and Safety Specialists,19-5011,Occupational health and safety specialists,B198,Occupational health and safety specialists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/occupational-health-and-safety-specialists-and-technicians.htm
272,19-5012.00,Occupational Health and Safety Technicians,19-5012,Occupational health and safety technicians,B198,Occupational health and safety specialists and technicians,Healthcare,Healthcare,https://www.bls.gov/OOH/healthcare/occupational-health-and-safety-specialists-and-technicians.htm
273,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1018,"Substance abuse, behavioral disorder, and mental health counselors",B116,"Substance abuse, behavioral disorder, and mental health counselors",Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm
274,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",21-1012,"Educational, guidance, and career counselors and advisors",B117,School and career counselors and advisors,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/school-and-career-counselors.htm
275,21-1013.00,Marriage and Family Therapists,21-1013,Marriage and family therapists,B119,Marriage and family therapists,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/marriage-and-family-therapists.htm
276,21-1014.00,Mental Health Counselors,21-1018,"Substance abuse, behavioral disorder, and mental health counselors",B116,"Substance abuse, behavioral disorder, and mental health counselors",Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm
277,21-1015.00,Rehabilitation Counselors,21-1015,Rehabilitation counselors,B120,Rehabilitation counselors,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/rehabilitation-counselors.htm
278,21-1019.00,"Counselors, All Other",21-1019,"Counselors, all other",—,—,—,—,—
279,21-1021.00,"Child, Family, and School Social Workers",21-1021,"Child, family, and school social workers",B121,Social workers,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/social-workers.htm
280,21-1022.00,Healthcare Social Workers,21-1022,Healthcare social workers,B121,Social workers,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/social-workers.htm
281,21-1023.00,Mental Health and Substance Abuse Social Workers,21-1023,Mental health and substance abuse social workers,B121,Social workers,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/social-workers.htm
282,21-1029.00,"Social Workers, All Other",21-1029,"Social workers, all other",B121,Social workers,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/social-workers.htm
283,21-1091.00,Health Education Specialists,21-1091,Health education specialists,B007,Health education specialists,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/health-educators.htm
284,21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1092,Probation officers and correctional treatment specialists,B124,Probation officers and correctional treatment specialists,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm
285,21-1093.00,Social and Human Service Assistants,21-1093,Social and human service assistants,B125,Social and human service assistants,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/social-and-human-service-assistants.htm
286,21-1094.00,Community Health Workers,21-1094,Community health workers,B399,Community health workers,Community-and-Social-Service,Social Services,https://www.bls.gov/OOH/community-and-social-service/community-health-workers.htm
287,21-1099.00,"Community and Social Service Specialists, All Other",21-1099,"Community and social service specialists, all other",—,—,—,—,—
288,21-2011.00,Clergy,21-2011,Clergy,—,—,—,—,—
289,21-2021.00,"Directors, Religious Activities and Education",21-2021,"Directors, religious activities and education",—,—,—,—,—
290,21-2099.00,"Religious Workers, All Other",21-2099,"Religious workers, all other",—,—,—,—,—
291,23-1011.00,Lawyers,23-1011,Lawyers,B126,Lawyers,Legal,Legal,https://www.bls.gov/OOH/legal/lawyers.htm
292,23-1012.00,Judicial Law Clerks,23-1012,Judicial law clerks,—,—,—,—,—
293,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,"Administrative law judges, adjudicators, and hearing officers",B123,Judges and hearing officers,Legal,Legal,https://www.bls.gov/OOH/legal/judges-and-hearing-officers.htm
294,23-1022.00,"Arbitrators, Mediators, and Conciliators",23-1022,"Arbitrators, mediators, and conciliators",B122,"Arbitrators, mediators, and conciliators",Legal,Legal,https://www.bls.gov/OOH/legal/arbitrators-mediators-and-conciliators.htm
295,23-1023.00,"Judges, Magistrate Judges, and Magistrates",23-1023,"Judges, magistrate judges, and magistrates",B123,Judges and hearing officers,Legal,Legal,https://www.bls.gov/OOH/legal/judges-and-hearing-officers.htm
296,23-2011.00,Paralegals and Legal Assistants,23-2011,Paralegals and legal assistants,B129,Paralegals and legal assistants,Legal,Legal,https://www.bls.gov/OOH/legal/paralegals-and-legal-assistants.htm
297,23-2093.00,"Title Examiners, Abstractors, and Searchers",23-2093,"Title examiners, abstractors, and searchers",—,—,—,—,—
298,23-2099.00,"Legal Support Workers, All Other",23-2099,"Legal support workers, all other",—,—,—,—,—
299,25-1011.00,"Business Teachers, Postsecondary",25-1011,"Business teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
300,25-1021.00,"Computer Science Teachers, Postsecondary",25-1021,"Computer science teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
301,25-1022.00,"Mathematical Science Teachers, Postsecondary",25-1022,"Mathematical science teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
302,25-1031.00,"Architecture Teachers, Postsecondary",25-1031,"Architecture teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
303,25-1032.00,"Engineering Teachers, Postsecondary",25-1032,"Engineering teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
304,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25-1041,"Agricultural sciences teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
305,25-1042.00,"Biological Science Teachers, Postsecondary",25-1042,"Biological science teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
306,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25-1043,"Forestry and conservation science teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
307,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
308,25-1052.00,"Chemistry Teachers, Postsecondary",25-1052,"Chemistry teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
309,25-1053.00,"Environmental Science Teachers, Postsecondary",25-1053,"Environmental science teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
310,25-1054.00,"Physics Teachers, Postsecondary",25-1054,"Physics teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
311,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25-1061,"Anthropology and archeology teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
312,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
313,25-1063.00,"Economics Teachers, Postsecondary",25-1063,"Economics teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
314,25-1064.00,"Geography Teachers, Postsecondary",25-1064,"Geography teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
315,25-1065.00,"Political Science Teachers, Postsecondary",25-1065,"Political science teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
316,25-1066.00,"Psychology Teachers, Postsecondary",25-1066,"Psychology teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
317,25-1067.00,"Sociology Teachers, Postsecondary",25-1067,"Sociology teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
318,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",25-1069,"Social sciences teachers, postsecondary, all other",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
319,25-1071.00,"Health Specialties Teachers, Postsecondary",25-1071,"Health specialties teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
320,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",25-1072,"Nursing instructors and teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
321,25-1081.00,"Education Teachers, Postsecondary",25-1081,"Education teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
322,25-1082.00,"Library Science Teachers, Postsecondary",25-1082,"Library science teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
323,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,"Criminal justice and law enforcement teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
324,25-1112.00,"Law Teachers, Postsecondary",25-1112,"Law teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
325,25-1113.00,"Social Work Teachers, Postsecondary",25-1113,"Social work teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
326,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",25-1121,"Art, drama, and music teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
327,25-1122.00,"Communications Teachers, Postsecondary",25-1122,"Communications teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
328,25-1123.00,"English Language and Literature Teachers, Postsecondary",25-1123,"English language and literature teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
329,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",25-1124,"Foreign language and literature teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
330,25-1125.00,"History Teachers, Postsecondary",25-1125,"History teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
331,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25-1126,"Philosophy and religion teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
332,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",25-1192,"Family and consumer sciences teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
333,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193,"Recreation and fitness studies teachers, postsecondary",B261,Postsecondary teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/postsecondary-teachers.htm
334,25-1194.00,"Career/Technical Education Teachers, Postsecondary",25-1194,"Career/technical education teachers, postsecondary",B134,Career and technical education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/career-and-technical-education-teachers.htm
335,25-1199.00,"Postsecondary Teachers, All Other",25-1199,"Postsecondary teachers, all other",—,—,—,—,—
336,25-2011.00,"Preschool Teachers, Except Special Education",25-2011,"Preschool teachers, except special education",B131,Preschool teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/preschool-teachers.htm
337,25-2012.00,"Kindergarten Teachers, Except Special Education",25-2012,"Kindergarten teachers, except special education",B132,Kindergarten and elementary school teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
338,25-2021.00,"Elementary School Teachers, Except Special Education",25-2021,"Elementary school teachers, except special education",B132,Kindergarten and elementary school teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
339,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",25-2022,"Middle school teachers, except special and career/technical education",B133,Middle school teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/middle-school-teachers.htm
340,25-2023.00,"Career/Technical Education Teachers, Middle School",25-2023,"Career/technical education teachers, middle school",B134,Career and technical education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/career-and-technical-education-teachers.htm
341,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,"Secondary school teachers, except special and career/technical education",B392,High school teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/high-school-teachers.htm
342,25-2032.00,"Career/Technical Education Teachers, Secondary School",25-2032,"Career/technical education teachers, secondary school",B134,Career and technical education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/career-and-technical-education-teachers.htm
343,25-2051.00,"Special Education Teachers, Preschool",25-2051,"Special education teachers, preschool",B135,Special education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/special-education-teachers.htm
344,25-2055.00,"Special Education Teachers, Kindergarten",25-2052,"Special education teachers, kindergarten and elementary school",B135,Special education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/special-education-teachers.htm
345,25-2056.00,"Special Education Teachers, Elementary School",25-2052,"Special education teachers, kindergarten and elementary school",B135,Special education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/special-education-teachers.htm
346,25-2057.00,"Special Education Teachers, Middle School",25-2057,"Special education teachers, middle school",B135,Special education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/special-education-teachers.htm
347,25-2058.00,"Special Education Teachers, Secondary School",25-2058,"Special education teachers, secondary school",B135,Special education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/special-education-teachers.htm
348,25-2059.00,"Special Education Teachers, All Other",25-2059,"Special education teachers, all other",B135,Special education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/special-education-teachers.htm
349,25-2059.01,Adapted Physical Education Specialists,25-2059,"Special education teachers, all other",B135,Special education teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/special-education-teachers.htm
350,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3011,"Adult basic education, adult secondary education, and english as a second language instructors",B136,Adult basic and secondary education and ESL teachers,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/adult-literacy-and-ged-teachers.htm
351,25-3021.00,Self-Enrichment Teachers,25-3021,Self-enrichment teachers,—,—,—,—,—
352,25-3031.00,"Substitute Teachers, Short-Term",25-3031,"Substitute teachers, short-term",—,—,—,—,—
353,25-3041.00,Tutors,25-3041,Tutors,B403,Tutors,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/tutors.htm
354,25-3099.00,"Teachers and Instructors, All Other",25-3099,"Teachers and instructors, all other",—,—,—,—,—
355,25-4011.00,Archivists,25-4011,Archivists,B137,"Archivists, curators, and museum workers",Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/curators-museum-technicians-and-conservators.htm
356,25-4012.00,Curators,25-4012,Curators,B137,"Archivists, curators, and museum workers",Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/curators-museum-technicians-and-conservators.htm
357,25-4013.00,Museum Technicians and Conservators,25-4013,Museum technicians and conservators,B137,"Archivists, curators, and museum workers",Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/curators-museum-technicians-and-conservators.htm
358,25-4022.00,Librarians and Media Collections Specialists,25-4022,Librarians and media collections specialists,B139,Librarians and library media specialists,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/librarians.htm
359,25-4031.00,Library Technicians,25-4031,Library technicians,B140,Library technicians and assistants,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/library-technicians-and-assistants.htm
360,25-9021.00,Farm and Home Management Educators,25-9021,Farm and home management educators,—,—,—,—,—
361,25-9031.00,Instructional Coordinators,25-9031,Instructional coordinators,B141,Instructional coordinators,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/instructional-coordinators.htm
362,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",25-9045,"Teaching assistants, except postsecondary",B142,Teacher assistants,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/teacher-assistants.htm
363,25-9043.00,"Teaching Assistants, Special Education",25-9045,"Teaching assistants, except postsecondary",B142,Teacher assistants,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/teacher-assistants.htm
364,25-9044.00,"Teaching Assistants, Postsecondary",25-9044,"Teaching assistants, postsecondary",—,—,—,—,—
365,25-9049.00,"Teaching Assistants, All Other",25-9045,"Teaching assistants, except postsecondary",B142,Teacher assistants,Education-Training-and-Library,Education and Library,https://www.bls.gov/OOH/education-training-and-library/teacher-assistants.htm
366,25-9099.00,"Educational Instruction and Library Workers, All Other",25-9099,"Educational instruction and library workers, all other",—,—,—,—,—
367,27-1011.00,Art Directors,27-1011,Art directors,B143,Art directors,Arts-and-Design,Arts and Design,https://www.bls.gov/OOH/arts-and-design/art-directors.htm
368,27-1012.00,Craft Artists,27-1012,Craft artists,B348,Craft and fine artists,Arts-and-Design,Arts and Design,https://www.bls.gov/OOH/arts-and-design/craft-and-fine-artists.htm
